name,vicinity,lat,lng
부산광역시,부산광역시,35.1795543,129.0756416
잉크에이스,수영구 광안동,35.1568357,129.1127498
광안터널,수영구 광안동,35.1541969,129.1001677
금정축산,수영구 광안3동 1069-3 광안동일스위트아파트,35.1675844,129.1131384
GS25 수영광원점,수영구 광안동 526-1,35.1626901,129.1078533
CU 수영역점,수영구 광안동 99-4,35.1635849,129.1146661
행복타운,수영구 광안동,35.1621714,129.1163775
삼흥파크타운,수영구 광안동,35.1670567,129.1115552
류빈비치빌,수영구 광안동,35.1546694,129.1181383
화이트 아일랜드,수영구 광안로21번길 24,35.1575150,129.1153860
더파크게스트하우스,수영구 광남로 151,35.1548194,129.1177770
메종드블룸,수영로 546,35.1543429,129.1126550
노르웨이아침,수영구 광안동,35.1569190,129.1124721
한울베스티빌,수영구 광안동,35.1630016,129.1077501
부흥4차아파트,수영구 광안동,35.1613352,129.1131941
우진카서비스,수영구 광안2동 141-6,35.1589466,129.1138608
대곡타워아파트,수영구 광안동,35.1630294,129.1114720
명진웰리치아파트,수영구 광안동 776-11,35.1531139,129.1111390
광안비치빌리지 끼디자인,수영구 광안동,35.1553915,129.1173605
수영구,수영구,35.1456150,129.1130831
