경기날짜,팀1이름,팀2이름,팀1점수,팀2점수
20080329,롯데,한화,11,1
20080329,LG,SK,4,5
20080329,KIA,삼성,3,4
20080330,롯데,한화,9,8
20080330,넥센,두산,1,4
20080330,KIA,삼성,0,3
20080330,LG,SK,3,1
20080401,SK,롯데,4,8
20080401,두산,KIA,3,0
20080401,한화,넥센,5,6
20080401,삼성,LG,6,2
20080402,삼성,LG,5,4
20080402,SK,롯데,2,6
20080402,두산,KIA,2,6
20080402,한화,넥센,4,5
20080403,삼성,LG,7,2
20080403,SK,롯데,5,0
20080403,두산,KIA,3,6
20080403,한화,넥센,2,5
20080404,넥센,삼성,3,1
20080404,두산,SK,2,6
20080404,롯데,LG,6,4
20080404,KIA,한화,1,4
20080405,넥센,삼성,6,5
20080405,두산,SK,1,5
20080405,롯데,LG,3,5
20080405,KIA,한화,9,4
20080406,넥센,삼성,2,7
20080406,두산,SK,1,4
20080406,롯데,LG,7,0
20080406,KIA,한화,0,4
20080408,SK,KIA,2,1
20080408,롯데,삼성,9,5
20080408,LG,넥센,9,4
20080408,한화,두산,4,3
20080409,LG,넥센,3,7
20080409,한화,두산,1,5
20080410,SK,KIA,4,1
20080410,롯데,삼성,0,2
20080410,LG,넥센,1,6
20080410,한화,두산,6,8
20080411,삼성,한화,8,6
20080411,SK,넥센,6,4
20080411,LG,두산,3,8
20080411,KIA,롯데,3,7
20080412,삼성,한화,3,6
20080412,SK,넥센,10,12
20080412,LG,두산,6,5
20080412,KIA,롯데,4,8
20080413,삼성,한화,4,2
20080413,SK,넥센,3,2
20080413,LG,두산,5,2
20080413,KIA,롯데,3,4
20080415,넥센,한화,4,5
20080415,삼성,SK,1,4
20080415,두산,롯데,10,4
20080415,KIA,LG,9,10
