경기 날짜,팀1 이름,팀2 이름,팀1 세트 스코어,팀2 세트 스코어,팀1 1세트 점수,팀1 2세트 점수,팀1 3세트 점수,팀1 4세트 점수,팀1 5세트 점수,팀2 1세트 점수,팀2 2세트 점수,팀2 3세트 점수,팀2 4세트 점수,팀2 5세트 점수
20130101,삼성화재,현대캐피탈,3,0,25,25,25,,,15,21,20,,
20130101,KGC인삼공사,도로공사,2,3,19,27,25,25,8,25,29,23,19,15
20130102,IBK기업은행,현대건설,3,0,25,25,25,,,21,16,17,,
20130102,드림식스,KEPCO,3,0,25,25,25,,,22,15,19,,
20130103,흥국생명,GS칼텍스,3,0,25,25,25,,,21,23,20,,
20130103,대한항공,LIG손해보험,1,3,21,25,19,16,,25,21,25,25,
20130115,도로공사,GS칼텍스,2,3,25,25,23,22,10,19,20,25,25,15
20130115,현대캐피탈,LIG손해보험,3,0,25,25,25,,,20,18,18,,
20130116,현대건설,IBK기업은행,0,3,23,23,23,,,25,25,25,,
20130116,KEPCO,드림식스,0,3,22,27,25,,,25,29,27,,
20130117,KGC인삼공사,흥국생명,1,3,22,25,22,16,,25,18,25,25,
20130117,삼성화재,대한항공,3,0,26,25,27,,,24,13,25,,
20130119,드림식스,LIG손해보험,3,1,25,25,22,25,,18,18,25,19,
20130119,IBK기업은행,GS칼텍스,3,0,25,25,25,,,21,15,19,,
20130120,현대캐피탈,삼성화재,2,3,18,29,21,25,8,25,27,25,18,15
20130120,도로공사,KGC인삼공사,3,0,25,25,25,,,18,12,12,,
20130122,현대건설,GS칼텍스,0,3,20,21,17,,,25,25,25,,
20130122,KEPCO,LIG손해보험,2,3,15,25,25,24,11,25,22,21,26,15
20130123,흥국생명,도로공사,0,3,19,12,21,,,25,25,25,,
20130123,대한항공,현대캐피탈,2,3,20,25,31,34,11,25,18,29,36,15
20130124,IBK기업은행,KGC인삼공사,3,0,25,25,25,,,14,20,16,,
20130124,드림식스,삼성화재,0,3,22,19,24,,,25,25,26,,
20130126,현대캐피탈,KEPCO,3,0,25,25,25,,,22,21,20,,
20130126,도로공사,현대건설,2,3,18,36,23,28,13,25,34,25,26,15
20130127,대한항공,드림식스,3,0,25,25,25,,,20,18,23,,
20130127,흥국생명,IBK기업은행,0,3,16,22,28,,,25,25,30,,
20130129,현대건설,KGC인삼공사,3,0,25,25,25,,,19,18,10,,
20130129,KEPCO,삼성화재,1,3,19,25,18,14,,25,23,25,25,
