제목,평점,예매율
해적: 도깨비 깃발,6.43,35.37
킹메이커,7.45,26.77
스파이더맨: 노 웨이 홈,8.87,11.25
씽2게더,9.44,8.44
극장판 안녕 자두야: 제주도의 비밀,8.94,6.99
미싱타는 여자들,9.39,1.85
하우스 오브 구찌,7.94,1.53
어나더 라운드,8.21,1.53
특송,8.27,1.21
드라이브 마이 카,8.58,0.72
인어가 잠든 집,8.55,0.48
해탄적일천,8.26,0.48
행복의 속도,8.96,0.32
효자,9.62,0.24
프랑스,7.60,0.24
원 세컨드,7.46,0.24
웨스트 사이드 스토리,6.59,0.16
미스터 앤 미세스 아델만,8.05,0.16
극장판 천재 추리 탐정 셜록홈즈,9.52,0.16
경관의 피,7.42,0.16
타오르는 여인의 초상,9.06,0.16
보는 것을 사랑한다,8.91,0.08
청춘적니,7.32,0.08
당신얼굴 앞에서,7.47,0.08
킹스맨: 퍼스트 에이전트,8.06,0.01
프리! 더 파이널 스트로크 전편,9.18,0.01
장민호 드라마 최종회,9.77,0.01
창극 변강쇠 점 찍고 옹녀,0.00,0.01
존경하고 사랑하는 국민 여러분,3.86,0.01
도쿄 리벤저스,8.43,0.01
캐롤,8.62,0.01
짬뽕비권,9.06,0.01
밀라노 두오모 콘서트,5.50,0.01
트로트는 인생이다,9.16,0.01
레전더리 콘서트: 레너드 번스타인,0.00,0.01
파이어 셧 업 인 마이 본즈,0.00,0.01
바이올렛 에버가든 오케스트라 콘서트 2021,9.43,0.01
클리포드 더 빅 레드 독,8.47,0.01
"틱, 틱... 붐!",8.79,0.01
프렌치 디스패치,7.98,0.01
너에게 가는 길,9.24,0.01
러브레터,9.13,0.01
걸 위드 더 카메라,9.60,0.01
귀향,8.66,0.01
그녀에게,8.46,0.01
나쁜 교육,8.46,0.01
램,6.46,0.01
불한당: 나쁜 놈들의 세상,6.49,0.01
브로큰 임브레이스,7.50,0.01
블루버스데이,8.95,0.01
전장의 피아니스트,8.67,0.01
퍼스트 카우,8.31,0.01
